Reward: 3.101501206683265, Epsilon: 0.995
Reward: -2.318365851823218, Epsilon: 0.990025
Reward: 7.231660250430321, Epsilon: 0.985074875
Reward: 5.2042764822787735, Epsilon: 0.9801495006250001
Reward: -1.6841083872391254, Epsilon: 0.9752487531218751
Reward: 8.0, Epsilon: 0.9703725093562657
Reward: -1.0, Epsilon: 0.9655206468094844
Reward: 7.077064337577976, Epsilon: 0.960693043575437
Reward: -3.0, Epsilon: 0.9558895783575597
Reward: -3.0, Epsilon: 0.9511101304657719
Reward: -4.440839153115946, Epsilon: 0.946354579813443
Reward: 7.626732392925737, Epsilon: 0.9416228069143757
Reward: -1.8408397203722444, Epsilon: 0.9369146928798039
Reward: -5.0, Epsilon: 0.9322301194154049
Reward: 7.5231862902944036, Epsilon: 0.9275689688183278
Reward: 3.049311001785343, Epsilon: 0.9229311239742362
Reward: 7.024744954000106, Epsilon: 0.918316468354365
Reward: 10.0, Epsilon: 0.9137248860125932
Reward: -4.102002111280216, Epsilon: 0.9091562615825302
Reward: 9.0, Epsilon: 0.9046104802746175
Reward: 6.025840070059975, Epsilon: 0.9000874278732445
Reward: -2.514044680129702, Epsilon: 0.8955869907338783
Reward: -4.0, Epsilon: 0.8911090557802088
Reward: 7.141003603341652, Epsilon: 0.8866535105013078
Reward: 6.461622547619853, Epsilon: 0.8822202429488013
Reward: 4.089003648366027, Epsilon: 0.8778091417340573
Reward: 5.852949985150844, Epsilon: 0.8734200960253871
Reward: -1.0, Epsilon: 0.8690529955452602
Reward: -1.0, Epsilon: 0.8647077305675338
Reward: 6.939719858128739, Epsilon: 0.8603841919146962
Reward: -1.0, Epsilon: 0.8560822709551227
Reward: -2.0, Epsilon: 0.851801859600347
Reward: 5.1112476543111125, Epsilon: 0.8475428503023453
Reward: 0.0, Epsilon: 0.8433051360508336
Reward: -4.304190858891309, Epsilon: 0.8390886103705794
Reward: 4.231485100528301, Epsilon: 0.8348931673187264
